participant_id,trial_index,answer_A,answer_B,answer_C,answer_D,selected_label,is_correct,rel_range,preference_strength,dominant_metric_area,dominant_metric_label,is_uniform,pref_group,mismatch_flag,uniform_rel_range,preference_metric
L41_408,3,766.0,844.0,830.0,780.0,A,1,0.0968944099378882,0.017391304347826087,answer_B,B,True,uniform,False,0.15,first_encounter_avg_pupil_size
L41_408,4,750.2,779.0,766.0,781.0,B,0,0.0400494116117287,0.0026006111436187506,answer_D,D,True,uniform,False,0.15,first_encounter_avg_pupil_size
L41_408,5,752.67,779.0,734.0,756.75,A,1,0.0595549261849776,0.029446602391461147,answer_B,B,True,uniform,False,0.15,first_encounter_avg_pupil_size
L41_408,6,727.0,748.0,776.0,742.0,A,1,0.06548613431339793,0.03742064817908453,answer_C,C,True,uniform,False,0.15,first_encounter_avg_pupil_size
L41_408,7,746.25,735.0,739.0,749.0,A,1,0.018859981476803907,0.0037046392186579104,answer_D,D,True,uniform,False,0.15,first_encounter_avg_pupil_size
L41_408,8,712.0,752.0,704.0,650.0,A,1,0.1447835344215756,0.05677785663591199,answer_B,B,True,uniform,False,0.15,first_encounter_avg_pupil_size
L41_408,9,745.0,708.0,788.0,752.0,A,1,0.10691613765452723,0.04811226194453725,answer_C,C,True,uniform,False,0.15,first_encounter_avg_pupil_size
L41_408,10,752.33,691.0,740.0,737.0,A,1,0.08400420500422903,0.016888502326791892,answer_A,A,True,uniform,False,0.15,first_encounter_avg_pupil_size
L41_408,11,705.0,754.5,671.0,696.0,A,1,0.11816734477268707,0.07005130019458694,answer_B,B,True,uniform,False,0.15,first_encounter_avg_pupil_size
L41_408,12,706.0,712.0,749.0,707.0,A,1,0.059846903270702856,0.05149617258176757,answer_C,C,True,uniform,False,0.15,first_encounter_avg_pupil_size
L41_408,13,650.0,676.0,718.5,702.0,C,0,0.09976333515383215,0.02403058438012015,answer_C,C,True,uniform,False,0.15,first_encounter_avg_pupil_size
L41_408,14,714.0,633.5,610.0,672.0,A,1,0.15820498193572924,0.0638904734740445,answer_A,A,False,matching,False,0.15,first_encounter_avg_pupil_size
L41_408,15,789.0,699.0,732.0,729.0,D,0,0.12207527975584945,0.07731434384537131,answer_A,A,True,uniform,False,0.15,first_encounter_avg_pupil_size
L41_408,16,714.5,688.0,720.0,755.0,A,1,0.09313640312771503,0.04865334491746308,answer_D,D,True,uniform,False,0.15,first_encounter_avg_pupil_size
L41_408,17,689.5,698.5,674.0,742.67,A,1,0.09793665564932767,0.06299493345028108,answer_D,D,True,uniform,False,0.15,first_encounter_avg_pupil_size
L41_408,18,713.67,713.25,771.0,682.0,A,1,0.12361454484846801,0.07962721186699637,answer_C,C,True,uniform,False,0.15,first_encounter_avg_pupil_size
