participant_id,trial_index,answer_A,answer_B,answer_C,answer_D,selected_label,is_correct,rel_range,preference_strength,dominant_metric_area,dominant_metric_label,is_uniform,pref_group,mismatch_flag,uniform_rel_range,preference_metric
l10_338,3,1507.6,1511.17,1584.5,1522.17,B,0,0.05021680075227254,0.04070238219621769,answer_C,C,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,4,1593.5,1618.5,1522.0,,D,0,0.06115335868187579,0.015842839036755388,answer_B,B,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,6,1542.0,1542.33,1488.0,,B,0,0.03564703335061113,0.00021651980500090364,answer_B,B,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,7,,,1506.0,,A,1,0.0,0.0,answer_C,C,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,8,,,1407.0,1365.5,C,0,0.02993688007213706,0.02993688007213706,answer_C,C,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,10,1468.5,1424.0,1406.0,1675.0,A,1,0.1801289026533858,0.1382773918138445,answer_D,D,False,mismatch,True,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,11,1439.33,,1534.0,,A,1,0.06367944358682022,0.06367944358682022,answer_C,C,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,12,1471.5,,,1338.0,A,1,0.09503470368392952,0.09503470368392952,answer_A,A,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,13,1447.8,1390.0,,1284.0,A,1,0.11921975835799889,0.04206899898102767,answer_A,A,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,14,1526.0,,1541.0,,A,1,0.0097815454841865,0.0097815454841865,answer_C,C,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,15,1469.5,,1356.0,1294.0,A,1,0.12780677266658574,0.08265566209491443,answer_A,A,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,17,,,1409.4,1386.0,C,0,0.016741790083709015,0.016741790083709015,answer_C,C,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,18,1360.5,1451.0,1324.0,1349.0,A,1,0.09262466952320175,0.06600419363661227,answer_B,B,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,19,1477.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,20,1303.0,1326.0,,,A,1,0.017497147204260176,0.017497147204260176,answer_B,B,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,21,1346.5,,1382.0,1424.0,A,1,0.05599036724864539,0.030343166767007827,answer_D,D,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,22,,1385.0,,1360.0,A,1,0.018214936247723135,0.018214936247723135,answer_B,B,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
l10_338,23,1339.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_AVERAGE_FIX_PUPIL_SIZE
