participant_id,trial_index,answer_A,answer_B,answer_C,answer_D,selected_label,is_correct,rel_range,preference_strength,dominant_metric_area,dominant_metric_label,is_uniform,pref_group,mismatch_flag,uniform_rel_range,preference_metric
l10_338,3,1398.0,1400.0,1467.0,1442.0,B,0,0.04836166111792536,0.017522340984755563,answer_C,C,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,4,1540.0,1618.0,1522.0,,D,0,0.06153846153846154,0.05,answer_B,B,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,6,1542.0,1448.0,1488.0,,B,0,0.06297454220634212,0.03617686467172845,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,7,,,1506.0,,A,1,0.0,0.0,answer_C,C,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,8,,,1407.0,1279.0,C,0,0.0953090096798213,0.0953090096798213,answer_C,C,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,10,1454.0,1424.0,1406.0,1675.0,A,1,0.18056720926329922,0.14834703809363986,answer_D,D,False,mismatch,True,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,11,1298.0,,1534.0,,A,1,0.16666666666666666,0.16666666666666666,answer_C,C,False,mismatch,True,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,12,1465.0,,,1338.0,A,1,0.09061719586157688,0.09061719586157688,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,13,1268.0,1390.0,,1284.0,A,1,0.0928462709284627,0.0806697108066971,answer_B,B,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,14,1526.0,,1533.0,,A,1,0.004576659038901602,0.004576659038901602,answer_C,C,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,15,1316.0,,1356.0,1294.0,A,1,0.046898638426626324,0.030257186081694403,answer_C,C,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,17,,,1358.0,1386.0,C,0,0.02040816326530612,0.02040816326530612,answer_D,D,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,18,1333.0,1451.0,1324.0,1349.0,A,1,0.09309144218435038,0.07476635514018691,answer_B,B,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,19,1477.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,20,1279.0,1326.0,,,A,1,0.03608445297504798,0.03608445297504798,answer_B,B,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,21,1228.0,,1382.0,1424.0,A,1,0.14576103123450668,0.031234506693108576,answer_D,D,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,22,,1360.0,,1360.0,A,1,0.0,0.0,answer_B,B,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,23,1339.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,24,,,,1255.0,B,0,0.0,0.0,answer_D,D,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,26,,1328.0,1333.0,1381.0,B,0,0.03933696190004948,0.03562592775853538,answer_D,D,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,27,,1391.0,,,A,1,0.0,0.0,answer_B,B,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,28,,1373.0,,,A,1,0.0,0.0,answer_B,B,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,29,1224.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,30,1179.0,1169.0,1208.0,1223.0,A,1,0.04519774011299435,0.012554927809165096,answer_D,D,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,31,1288.0,,1286.0,1173.0,A,1,0.09207365892714171,0.0016012810248198558,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,32,,1490.0,1273.0,1185.0,C,0,0.2317629179331307,0.16489361702127658,answer_B,B,False,mismatch,True,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,33,1162.0,1210.0,1218.0,,A,1,0.0467966573816156,0.006685236768802228,answer_C,C,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,34,1437.0,1256.0,,1397.0,A,1,0.13276283618581908,0.0293398533007335,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,35,1328.0,1270.0,1257.0,1151.0,A,1,0.14143028365960847,0.0463443867359169,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,37,1248.0,1262.0,1228.0,1154.0,A,1,0.08830744071954211,0.011447260834014717,answer_B,B,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,38,1268.0,1414.0,1170.0,1303.0,A,1,0.18933074684772067,0.08612997090203686,answer_B,B,False,mismatch,True,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,39,1247.0,1169.0,,,A,1,0.06456953642384106,0.06456953642384106,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,40,1424.0,1274.0,,1144.0,A,1,0.21863612701717855,0.11712649661634565,answer_A,A,False,matching,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,42,1233.0,,,1361.0,A,1,0.09868928296067848,0.09868928296067848,answer_D,D,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,43,1243.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,44,1306.0,1367.0,,,A,1,0.04564160119715675,0.04564160119715675,answer_B,B,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,45,,1373.0,1235.0,,B,0,0.1058282208588957,0.1058282208588957,answer_B,B,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,48,1234.0,,1213.0,1203.0,A,1,0.02547945205479452,0.017260273972602738,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,49,1254.0,,1208.0,,A,1,0.03736799350121852,0.03736799350121852,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,50,1018.0,1153.0,,1276.0,A,1,0.2245430809399478,0.10704960835509138,answer_D,D,False,mismatch,True,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,51,,,1374.0,,B,0,0.0,0.0,answer_C,C,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,52,1348.0,1353.0,1345.0,1208.0,A,1,0.11039208222306814,0.003806623524933384,answer_B,B,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,53,1306.0,,1459.0,,A,1,0.11066907775768535,0.11066907775768535,answer_C,C,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,56,1255.0,1363.0,,,A,1,0.0825057295645531,0.0825057295645531,answer_B,B,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,57,1379.0,,1407.0,,D,0,0.020100502512562814,0.020100502512562814,answer_C,C,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,58,1334.0,1407.0,,,A,1,0.05326523166727472,0.05326523166727472,answer_B,B,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,59,1360.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_338,60,1263.0,,,1146.0,A,1,0.09713574097135741,0.09713574097135741,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_39,4,559.0,557.0,,,A,1,0.0035842293906810036,0.0035842293906810036,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_39,5,503.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_39,6,,579.0,485.0,566.0,A,1,0.17300613496932515,0.023926380368098157,answer_B,B,False,mismatch,True,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_39,7,498.0,553.0,552.0,,A,1,0.10293200249532126,0.0018714909544603866,answer_B,B,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_39,8,509.0,456.0,512.0,,A,1,0.1137440758293839,0.006093432633716994,answer_C,C,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_39,9,503.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_39,12,464.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_39,14,,501.0,,,A,1,0.0,0.0,answer_B,B,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_39,15,486.0,565.0,443.0,,A,1,0.24497991967871485,0.15863453815261044,answer_B,B,False,mismatch,True,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_39,17,587.0,,533.0,,C,0,0.09642857142857143,0.09642857142857143,answer_A,A,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_39,18,482.0,500.0,481.0,,A,1,0.03896103896103896,0.03691045796308954,answer_B,B,True,uniform,False,0.15,IA_MIN_FIX_PUPIL_SIZE
l10_39,19,460.0,552.0,486.0,450.0,A,1,0.20944558521560575,0.13552361396303902,answer_B,B,False,mismatch,True,0.15,IA_MIN_FIX_PUPIL_SIZE
