participant_id,trial_index,answer_A,answer_B,answer_C,answer_D,selected_label,is_correct,rel_range,preference_strength,dominant_metric_area,dominant_metric_label,is_uniform,pref_group,mismatch_flag,uniform_rel_range,preference_metric
l10_338,3,1506.3333333333333,1390.3333333333333,1456.8,1511.0,B,0,0.0823035911193971,0.0031830118112474515,answer_D,D,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,4,1461.0,1487.5,1454.5,1304.0,D,0,0.12861398282810582,0.018573681443840896,answer_B,B,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,5,1718.0,1653.0,1652.0,1591.75,B,0,0.07634453305113571,0.0393060962243471,answer_A,A,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,6,1535.75,1559.5,1499.3333333333333,1572.5,B,0,0.04745625295588141,0.00843186271197892,answer_D,D,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,7,1328.75,1582.2857142857142,1376.6,1424.3333333333333,A,1,0.17754698050501305,0.11061151041651471,answer_B,B,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,8,1370.0,1469.2,1394.2857142857142,1337.75,C,0,0.09437762589217835,0.05378647722421168,answer_B,B,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,10,1444.3333333333333,1407.5,1383.0,1587.5,A,1,0.14049350203240396,0.09835690158584766,answer_D,D,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,11,1379.0,1265.5,1534.0,1333.3333333333333,A,1,0.19485349702155969,0.11248525898823744,answer_C,C,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,12,1418.0,1373.625,1219.0,1289.0,A,1,0.15019930655470906,0.03349293582093073,answer_A,A,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,13,1268.0,1390.0,1432.0,1284.0,A,1,0.12206922218087086,0.03126163007071083,answer_C,C,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,14,1454.5,1529.0,1533.0,1372.0,A,1,0.10936571283009255,0.0027171605672072683,answer_C,C,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,15,1412.5555555555557,1315.0,1362.6666666666667,1304.3333333333333,A,1,0.0802455150254373,0.03699202900043255,answer_A,A,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,16,1301.5,1298.75,1310.6666666666667,1369.5,C,0,0.05359425550382703,0.04456719008916588,answer_D,D,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,17,1339.5555555555557,1310.0,1367.111111111111,1428.125,C,0,0.08678017983546968,0.044823671959696464,answer_D,D,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,18,1270.0,1379.0,1259.0,1332.4,A,1,0.09159606136936112,0.0355698038317685,answer_B,B,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,19,1352.6666666666667,1368.0,1256.5,1192.75,A,1,0.13559212753268104,0.011863505214461811,answer_B,B,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,20,1258.3333333333333,1295.25,1433.0,1332.0,A,1,0.13136330163107351,0.07596007708819705,answer_C,C,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,21,1254.5,1305.0,1366.1666666666667,1426.0,A,1,0.1281843662410464,0.04472127063220175,answer_D,D,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,22,1340.5,1382.5,1298.0,1343.5,A,1,0.06300680398918818,0.029080063379625314,answer_B,B,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,23,1261.0,1218.6666666666667,1286.6666666666667,1343.6,A,1,0.097796448746885,0.044566791478036105,answer_D,D,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,24,1173.5,1339.5,1328.3333333333333,1224.25,B,0,0.13108065869347066,0.008817674831789753,answer_B,B,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,26,1285.0,1328.0,1333.0,1354.5,B,0,0.052447882275257054,0.016224884444863693,answer_D,D,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,27,1287.0,1399.0,1200.5,1285.0,A,1,0.153533790969738,0.08662863772599826,answer_B,B,True,uniform,False,0.2,mean_min_fix_pupil_size
l10_338,28,1159.857142857143,1292.8,1163.75,1259.3333333333333,A,1,0.10906475255773108,0.02745565874975769,answer_B,B,True,uniform,False,0.2,mean_min_fix_pupil_size
