TRIAL_INDEX,participant_id,critical,distractor,outside,answer_A,answer_B,answer_C,answer_D,question,loc_answer_A,loc_answer_B,loc_answer_C,loc_answer_D,loc_question,selected_answer_label,selected_answer_position,dwell_selected,screenloc_selected
3,L41_408,206.93548387096774,99.14285714285714,105.74725274725274,164.33333333333334,91.16666666666667,56.666666666666664,58.25,20.0,answer_1,answer_0,answer_2,answer_3,question,A,1,164.33333333333334,answer_1
3,L56_481,399.625,406.75,270.88235294117646,257.3333333333333,530.0,142.25,161.0,17.4,answer_3,answer_1,answer_0,answer_2,question,A,3,257.3333333333333,answer_3
3,l10_202,340.6904761904762,181.0,231.60526315789474,198.8,353.0,146.33333333333334,185.0,85.0,answer_1,answer_2,answer_3,answer_0,question,B,2,353.0,answer_2
3,l10_341,126.31818181818181,64.9,109.1,247.33333333333334,102.0,76.0,102.2,0.0,answer_1,answer_3,answer_2,answer_0,question,A,1,247.33333333333334,answer_1
3,l12_345,245.1904761904762,374.58620689655174,362.84375,226.85714285714286,120.9,81.8,101.3,14.125,answer_1,answer_2,answer_3,answer_0,question,A,1,226.85714285714286,answer_1
3,l14_527,191.91228070175438,155.25,218.75438596491227,1284.0,538.6666666666666,313.0,1225.0,90.16666666666667,answer_2,answer_1,answer_3,answer_0,question,B,1,538.6666666666666,answer_1
3,l14_94,159.28571428571428,588.625,151.0681818181818,118.3,653.25,68.46153846153847,226.5,12.538461538461538,answer_2,answer_0,answer_3,answer_1,question,B,0,653.25,answer_0
3,l15_210,299.14814814814815,128.47826086956522,142.37704918032787,228.5,123.4,158.83333333333334,318.875,0.0,answer_0,answer_1,answer_2,answer_3,question,A,0,228.5,answer_0
3,l15_350,303.93939393939394,355.57894736842104,282.3692307692308,576.5,308.3333333333333,253.55555555555554,151.77777777777777,16.2,answer_1,answer_3,answer_2,answer_0,question,A,1,576.5,answer_1
3,l16_218,123.73913043478261,219.25,237.5,335.77777777777777,526.25,106.6,101.0,14.235294117647058,answer_2,answer_0,answer_3,answer_1,question,B,0,526.25,answer_0
3,l16_96,279.2631578947368,144.44444444444446,414.31944444444446,224.125,58.36363636363637,142.77777777777777,93.44444444444444,18.09090909090909,answer_2,answer_3,answer_0,answer_1,question,A,2,224.125,answer_2
3,l17_356,302.258064516129,59.42857142857143,104.03296703296704,272.3333333333333,77.83333333333333,85.5,144.625,21.428571428571427,answer_2,answer_0,answer_3,answer_1,question,A,2,272.3333333333333,answer_2
3,l19_365,257.2916666666667,499.6666666666667,203.97701149425288,536.4444444444445,567.1666666666666,338.1,369.25,9.357142857142858,answer_1,answer_3,answer_0,answer_2,question,A,1,536.4444444444445,answer_1
3,l1_168,129.3125,508.75,144.82539682539684,182.2,148.0,80.15384615384616,126.125,11.23076923076923,answer_2,answer_3,answer_1,answer_0,question,A,2,182.2,answer_2
3,l1_322,368.9583333333333,471.3333333333333,337.5632183908046,592.3333333333334,236.83333333333334,558.7,478.75,0.0,answer_3,answer_1,answer_0,answer_2,question,D,2,478.75,answer_2
3,l20_101,286.95238095238096,598.0,196.45454545454547,207.9,244.0,97.92307692307692,173.375,0.0,answer_3,answer_2,answer_1,answer_0,question,A,3,207.9,answer_3
3,l20_253,214.6315789473684,216.5,270.719298245614,413.0,351.3333333333333,311.25,1487.0,29.333333333333332,answer_0,answer_2,answer_3,answer_1,question,B,2,351.3333333333333,answer_2
3,l22_233,351.8095238095238,298.3333333333333,257.2894736842105,96.6,112.0,53.333333333333336,136.66666666666666,30.8,answer_2,answer_3,answer_0,answer_1,question,A,2,96.6,answer_2
3,l22_367,218.75,396.0,229.61111111111111,452.0,736.8333333333334,276.5,271.125,267.0,answer_3,answer_0,answer_1,answer_2,question,A,3,452.0,answer_3
3,l24_241,143.21052631578948,186.69230769230768,342.5208333333333,620.875,343.0,511.7,84.5,379.625,answer_1,answer_0,answer_3,answer_2,question,C,3,511.7,answer_3
3,l24_372,202.53488372093022,228.0,187.83185840707964,279.0,179.33333333333334,182.88888888888889,90.55555555555556,139.06666666666666,answer_3,answer_2,answer_0,answer_1,question,A,3,279.0,answer_3
