seq_len,n,k_correct,accuracy,ci_low,ci_high
1,66,61,0.9242424242424242,0.834605945487485,0.9672084459353918
2,101,98,0.9702970297029703,0.9162811615791471,0.9898477032989166
3,266,244,0.9172932330827067,0.8779553651686903,0.9447495105806382
4,1461,1369,0.9370294318959617,0.9233910260097752,0.9483755868444746
5,2277,2094,0.919631093544137,0.9077446426363651,0.9301039830639026
6,1433,1278,0.8918353105373342,0.8746938758790355,0.9068814905357452
7,1169,1026,0.8776732249786142,0.8576427219093441,0.895229618225931
8,810,674,0.8320987654320988,0.804803023414647,0.8562592766693007
9,579,496,0.8566493955094991,0.8257517219075208,0.8828456053937563
10,425,333,0.7835294117647059,0.7419275084291865,0.8200515533036306
11,297,229,0.7710437710437711,0.7199775464153344,0.815187803057611
12,213,144,0.676056338028169,0.6105703114708175,0.7353042808583296
13,136,99,0.7279411764705882,0.6476546569380526,0.7957041147007158
14,105,71,0.6761904761904762,0.5818421637535649,0.7581013872416429
15,94,67,0.7127659574468085,0.6143663617863795,0.7944576966918138
16,58,35,0.603448275862069,0.4749298280744989,0.7191143104988886
17,40,29,0.725,0.5716474916687543,0.8389214656685692
18,41,24,0.5853658536585366,0.4336683535683661,0.7224366917466984
19,21,13,0.6190476190476191,0.40878295815501514,0.7924923220201749
20,25,16,0.64,0.44518154601046633,0.7975234356826436
21,17,7,0.4117647058823529,0.21610786039131386,0.6399492561448445
22,19,13,0.6842105263157895,0.4601001017506463,0.846358289955714
23,12,6,0.5,0.2537781703934222,0.7462218296065778
24,10,5,0.5,0.23658959361548731,0.7634104063845126
25,6,2,0.3333333333333333,0.09676933255921683,0.7000116786584712
26,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873
27,8,4,0.5,0.21521252682444186,0.7847874731755582
