selected_answer,last_lbl_before_confirm,n,proportion
A,question,393,0.02405287961319542
A,answer_A,11140,0.6818042719872697
A,answer_B,1559,0.09541587612460983
A,answer_C,1684,0.10306628312626231
A,answer_D,1563,0.09566068914866271
B,question,33,0.018922018348623854
B,answer_A,175,0.1003440366972477
B,answer_B,1243,0.7127293577981652
B,answer_C,154,0.08830275229357798
B,answer_D,139,0.07970183486238532
C,question,23,0.024416135881104035
C,answer_A,105,0.11146496815286625
C,answer_B,77,0.08174097664543524
C,answer_C,661,0.7016985138004246
C,answer_D,76,0.08067940552016985
D,question,11,0.0267639902676399
D,answer_A,46,0.11192214111922141
D,answer_B,38,0.09245742092457421
D,answer_C,29,0.0705596107055961
D,answer_D,287,0.6982968369829684
