selected_answer,last_lbl_before_confirm,n,proportion
A,question,201,0.02547528517110266
A,answer_A,5522,0.699873257287706
A,answer_B,683,0.08656527249683144
A,answer_C,756,0.09581749049429658
A,answer_D,728,0.09226869455006337
B,question,20,0.02
B,answer_A,75,0.075
B,answer_B,738,0.738
B,answer_C,86,0.086
B,answer_D,81,0.081
C,question,11,0.01936619718309859
C,answer_A,72,0.1267605633802817
C,answer_B,43,0.07570422535211267
C,answer_C,399,0.7024647887323944
C,answer_D,43,0.07570422535211267
D,question,8,0.03088803088803089
D,answer_A,34,0.13127413127413126
D,answer_B,27,0.10424710424710425
D,answer_C,18,0.0694980694980695
D,answer_D,172,0.6640926640926641
