selected_answer,last_lbl_before_confirm,n,proportion
A,question,192,0.022724582790862823
A,answer_A,5618,0.664930761036809
A,answer_B,876,0.10368090898331163
A,answer_C,928,0.10983548348917031
A,answer_D,835,0.09882826369984614
B,question,13,0.01747311827956989
B,answer_A,100,0.13440860215053763
B,answer_B,505,0.678763440860215
B,answer_C,68,0.0913978494623656
B,answer_D,58,0.07795698924731183
C,question,12,0.03208556149732621
C,answer_A,33,0.08823529411764706
C,answer_B,34,0.09090909090909091
C,answer_C,262,0.7005347593582888
C,answer_D,33,0.08823529411764706
D,question,3,0.019736842105263157
D,answer_A,12,0.07894736842105263
D,answer_B,11,0.07236842105263158
D,answer_C,11,0.07236842105263158
D,answer_D,115,0.756578947368421
