run_identifier,model_family,model,balanced_accuracy,accuracy,macro_f1,weighted_f1,n_test,n_features,trained_feature_cols,source_folder,n_positive,n_negative,macro_precision,macro_recall,weighted_precision,weighted_recall,roc_auc,average_precision,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,source_csv
all_last_all_pruned_t09,logreg,trial_level_log_reg,0.8755235149465919,0.8793430195830702,0.8018382620401641,0.8895986996215758,1583,85,mean_dwell_time__correct | mean_first_fixation_duration__correct | skip_rate__correct | area_dwell_proportion__correct | mean_max_fix_pupil_size_z__correct | mean_min_fix_pupil_size_z__correct | first_encounter_avg_pupil_size_z__correct | num_label_visits__correct | mean_fixations_count__wrong_mean | mean_first_fixation_duration__wrong_mean | skip_rate__wrong_mean | area_dwell_proportion__wrong_mean | mean_max_fix_pupil_size_z__wrong_mean | num_label_visits__wrong_mean | mean_dwell_time__contrast | mean_fixations_count__contrast | mean_first_fixation_duration__contrast | skip_rate__contrast | mean_max_fix_pupil_size_z__contrast | mean_min_fix_pupil_size_z__contrast | first_encounter_avg_pupil_size_z__contrast | num_label_visits__contrast | mean_dwell_time__distance_furthest | mean_fixations_count__distance_furthest | mean_first_fixation_duration__distance_furthest | skip_rate__distance_furthest | area_dwell_proportion__distance_furthest | mean_avg_fix_pupil_size_z__distance_furthest | first_encounter_avg_pupil_size_z__distance_furthest | num_label_visits__distance_furthest | mean_dwell_time__distance_closest | mean_fixations_count__distance_closest | mean_first_fixation_duration__distance_closest | skip_rate__distance_closest | area_dwell_proportion__distance_closest | mean_avg_fix_pupil_size_z__distance_closest | mean_max_fix_pupil_size_z__distance_closest | mean_min_fix_pupil_size_z__distance_closest | first_encounter_avg_pupil_size_z__distance_closest | num_label_visits__distance_closest | mean_fixations_count__question | mean_first_fixation_duration__question | area_dwell_proportion__question | mean_max_fix_pupil_size_z__question | num_label_visits__question | mean_fixations_count__answer_B | mean_fixations_count__answer_C | mean_fixations_count__answer_D | mean_first_fixation_duration__answer_B | mean_first_fixation_duration__answer_C | mean_first_fixation_duration__answer_D | skip_rate__answer_B | skip_rate__answer_C | skip_rate__answer_D | area_dwell_proportion__answer_B | area_dwell_proportion__answer_C | area_dwell_proportion__answer_D | mean_max_fix_pupil_size_z__answer_B | mean_max_fix_pupil_size_z__answer_C | mean_max_fix_pupil_size_z__answer_D | mean_min_fix_pupil_size_z__answer_B | first_encounter_avg_pupil_size_z__answer_B | first_encounter_avg_pupil_size_z__answer_C | first_encounter_avg_pupil_size_z__answer_D | num_label_visits__answer_B | num_label_visits__answer_C | num_label_visits__answer_D | has_xyx | has_xyxy | trial_mean_dwell | ANSWER_PRESS_NUMBER | last_visited_answer_A | last_visited_answer_B | last_visited_answer_C | last_visited_answer_D | last_before_confirm_answer_A | last_before_confirm_answer_B | last_before_confirm_answer_C | last_before_confirm_answer_D | last_before_confirm_question | last_before_select_answer_A | last_before_select_answer_B | last_before_select_answer_C | last_before_select_answer_D | last_before_select_question,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_all_pruned_t09,1352,231,0.7653392971072529,0.8755235149465919,0.9141148185221436,0.8793430195830702,0.9365634365634364,0.9848753858745412,0.5552486187845304,0.8701298701298701,0.6779089376053963,231,0.9754299754299754,0.8809171597633136,0.925767586474932,1352,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_all_pruned_t09\model_summary.csv
select_1_last_all,logreg,trial_level_log_reg,0.8729891902968826,0.8780795957043588,0.7997632700196423,0.8884426650626396,1583,22,skip_rate__correct | area_dwell_proportion__correct | num_label_visits__correct | skip_rate__wrong_mean | area_dwell_proportion__wrong_mean | num_label_visits__wrong_mean | seq_len | has_xyx | last_visited_answer_A | last_visited_answer_B | last_visited_answer_C | last_visited_answer_D | last_before_confirm_answer_A | last_before_confirm_answer_B | last_before_confirm_answer_C | last_before_confirm_answer_D | last_before_confirm_question | last_before_select_answer_A | last_before_select_answer_B | last_before_select_answer_C | last_before_select_answer_D | last_before_select_question,..\reports\report_data\answer_correctness\new_subject\logreg\select_1_last_all,1352,231,0.7635485812281393,0.8729891902968826,0.913012221772775,0.8780795957043588,0.9339186454571068,0.9838962915306276,0.5524861878453039,0.8658008658008658,0.6745362563237775,231,0.9746109746109746,0.8801775147928994,0.9249902837155072,1352,..\reports\report_data\answer_correctness\new_subject\logreg\select_1_last_all\model_summary.csv
all_last_all_pruned_t07,logreg,trial_level_log_reg,0.8704548656471733,0.8768161718256475,0.7976882779991205,0.887286630503703,1583,43,skip_rate__correct | area_dwell_proportion__correct | first_encounter_avg_pupil_size_z__correct | mean_first_fixation_duration__wrong_mean | mean_max_fix_pupil_size_z__wrong_mean | num_label_visits__wrong_mean | mean_fixations_count__contrast | skip_rate__contrast | mean_max_fix_pupil_size_z__contrast | num_label_visits__contrast | mean_fixations_count__distance_furthest | skip_rate__distance_furthest | area_dwell_proportion__distance_furthest | mean_avg_fix_pupil_size_z__distance_furthest | first_encounter_avg_pupil_size_z__distance_furthest | num_label_visits__distance_furthest | skip_rate__distance_closest | mean_min_fix_pupil_size_z__distance_closest | first_encounter_avg_pupil_size_z__distance_closest | num_label_visits__distance_closest | mean_fixations_count__question | area_dwell_proportion__question | mean_max_fix_pupil_size_z__question | skip_rate__answer_B | skip_rate__answer_C | skip_rate__answer_D | area_dwell_proportion__answer_B | area_dwell_proportion__answer_C | area_dwell_proportion__answer_D | has_xyx | has_xyxy | ANSWER_PRESS_NUMBER | last_visited_answer_A | last_visited_answer_C | last_visited_answer_D | last_before_confirm_answer_B | last_before_confirm_answer_D | last_before_confirm_question | last_before_select_answer_A | last_before_select_answer_B | last_before_select_answer_C | last_before_select_answer_D | last_before_select_question,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_all_pruned_t07,1352,231,0.7617578653490256,0.8704548656471733,0.9119096250234066,0.8768161718256475,0.9328812213427596,0.985095186033474,0.5497237569060773,0.8614718614718615,0.6711635750421585,231,0.9737919737919738,0.8794378698224852,0.9242129809560824,1352,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_all_pruned_t07\model_summary.csv
all_last_confirm_aic,logreg,trial_level_log_reg,0.8695519224365378,0.8660770688566014,0.7863534504710976,0.8787734879169607,1583,41,last_before_confirm_answer_A | area_dwell_proportion__contrast | trial_mean_dwell | last_before_confirm_answer_B | skip_rate__contrast | has_xyx | area_dwell_proportion__answer_D | num_label_visits__contrast | mean_avg_fix_pupil_size_z__correct | num_label_visits__distance_furthest | last_before_confirm_answer_C | skip_rate__answer_B | mean_dwell_time__contrast | last_before_confirm_answer_D | ANSWER_PRESS_NUMBER | mean_first_fixation_duration__distance_closest | area_dwell_proportion__distance_furthest | area_dwell_proportion__distance_closest | mean_avg_fix_pupil_size_z__answer_C | mean_first_fixation_duration__answer_B | skip_rate__question | area_dwell_proportion__question | skip_rate__answer_C | first_encounter_avg_pupil_size_z__question | mean_max_fix_pupil_size_z__distance_closest | skip_rate__distance_closest | mean_first_fixation_duration__correct | mean_max_fix_pupil_size_z__answer_D | mean_min_fix_pupil_size_z__wrong_mean | mean_max_fix_pupil_size_z__answer_B | mean_dwell_time__correct | mean_dwell_time__distance_furthest | mean_dwell_time__distance_closest | area_dwell_proportion__answer_B | mean_first_fixation_duration__distance_furthest | mean_avg_fix_pupil_size_z__answer_D | mean_max_fix_pupil_size_z__answer_C | mean_first_fixation_duration__question | num_label_visits__question | mean_fixations_count__correct | num_label_visits__distance_closest,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_confirm_aic,1352,231,0.7502341564945905,0.8695519224365378,0.9099634366395034,0.8660770688566014,0.9208996132073056,0.9816443433740116,0.5246753246753246,0.8744588744588745,0.6558441558441559,231,0.9757929883138564,0.8646449704142012,0.9168627450980392,1352,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_confirm_aic\model_summary.csv
all_last_confirm_pruned_t05,logreg,trial_level_log_reg,0.8690732344578498,0.8591282375236892,0.7793121340847783,0.8732972726929916,1583,21,area_dwell_proportion__correct | mean_first_fixation_duration__wrong_mean | mean_max_fix_pupil_size_z__wrong_mean | num_label_visits__wrong_mean | mean_max_fix_pupil_size_z__contrast | num_label_visits__contrast | mean_avg_fix_pupil_size_z__distance_furthest | skip_rate__distance_closest | mean_min_fix_pupil_size_z__distance_closest | first_encounter_avg_pupil_size_z__distance_closest | mean_fixations_count__question | area_dwell_proportion__answer_B | area_dwell_proportion__answer_C | area_dwell_proportion__answer_D | has_xyx | has_xyxy | ANSWER_PRESS_NUMBER | last_before_confirm_answer_A | last_before_confirm_answer_C | last_before_confirm_answer_D | last_before_confirm_question,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_confirm_pruned_t05,1352,231,0.7435883347421809,0.8690732344578498,0.9090037000270732,0.8591282375236892,0.9124913547990472,0.9793430006703016,0.51,0.8831168831168831,0.6465927099841522,231,0.9771766694843618,0.8550295857988166,0.9120315581854044,1352,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_confirm_pruned_t05\model_summary.csv
all_last_all,logreg,trial_level_log_reg,0.8686601859678782,0.8768161718256475,0.7971613030407569,0.8871745166575536,1583,119,mean_dwell_time__correct | mean_fixations_count__correct | mean_first_fixation_duration__correct | skip_rate__correct | area_dwell_proportion__correct | mean_avg_fix_pupil_size_z__correct | mean_max_fix_pupil_size_z__correct | mean_min_fix_pupil_size_z__correct | first_encounter_avg_pupil_size_z__correct | num_label_visits__correct | mean_dwell_time__wrong_mean | mean_fixations_count__wrong_mean | mean_first_fixation_duration__wrong_mean | skip_rate__wrong_mean | area_dwell_proportion__wrong_mean | mean_avg_fix_pupil_size_z__wrong_mean | mean_max_fix_pupil_size_z__wrong_mean | mean_min_fix_pupil_size_z__wrong_mean | first_encounter_avg_pupil_size_z__wrong_mean | num_label_visits__wrong_mean | mean_dwell_time__contrast | mean_fixations_count__contrast | mean_first_fixation_duration__contrast | skip_rate__contrast | area_dwell_proportion__contrast | mean_avg_fix_pupil_size_z__contrast | mean_max_fix_pupil_size_z__contrast | mean_min_fix_pupil_size_z__contrast | first_encounter_avg_pupil_size_z__contrast | num_label_visits__contrast | mean_dwell_time__distance_furthest | mean_fixations_count__distance_furthest | mean_first_fixation_duration__distance_furthest | skip_rate__distance_furthest | area_dwell_proportion__distance_furthest | mean_avg_fix_pupil_size_z__distance_furthest | mean_max_fix_pupil_size_z__distance_furthest | mean_min_fix_pupil_size_z__distance_furthest | first_encounter_avg_pupil_size_z__distance_furthest | num_label_visits__distance_furthest | mean_dwell_time__distance_closest | mean_fixations_count__distance_closest | mean_first_fixation_duration__distance_closest | skip_rate__distance_closest | area_dwell_proportion__distance_closest | mean_avg_fix_pupil_size_z__distance_closest | mean_max_fix_pupil_size_z__distance_closest | mean_min_fix_pupil_size_z__distance_closest | first_encounter_avg_pupil_size_z__distance_closest | num_label_visits__distance_closest | mean_dwell_time__question | mean_fixations_count__question | mean_first_fixation_duration__question | skip_rate__question | area_dwell_proportion__question | mean_avg_fix_pupil_size_z__question | mean_max_fix_pupil_size_z__question | mean_min_fix_pupil_size_z__question | first_encounter_avg_pupil_size_z__question | num_label_visits__question | mean_dwell_time__answer_A | mean_dwell_time__answer_B | mean_dwell_time__answer_C | mean_dwell_time__answer_D | mean_fixations_count__answer_A | mean_fixations_count__answer_B | mean_fixations_count__answer_C | mean_fixations_count__answer_D | mean_first_fixation_duration__answer_A | mean_first_fixation_duration__answer_B | mean_first_fixation_duration__answer_C | mean_first_fixation_duration__answer_D | skip_rate__answer_A | skip_rate__answer_B | skip_rate__answer_C | skip_rate__answer_D | area_dwell_proportion__answer_A | area_dwell_proportion__answer_B | area_dwell_proportion__answer_C | area_dwell_proportion__answer_D | mean_avg_fix_pupil_size_z__answer_A | mean_avg_fix_pupil_size_z__answer_B | mean_avg_fix_pupil_size_z__answer_C | mean_avg_fix_pupil_size_z__answer_D | mean_max_fix_pupil_size_z__answer_A | mean_max_fix_pupil_size_z__answer_B | mean_max_fix_pupil_size_z__answer_C | mean_max_fix_pupil_size_z__answer_D | mean_min_fix_pupil_size_z__answer_A | mean_min_fix_pupil_size_z__answer_B | mean_min_fix_pupil_size_z__answer_C | mean_min_fix_pupil_size_z__answer_D | first_encounter_avg_pupil_size_z__answer_A | first_encounter_avg_pupil_size_z__answer_B | first_encounter_avg_pupil_size_z__answer_C | first_encounter_avg_pupil_size_z__answer_D | num_label_visits__answer_A | num_label_visits__answer_B | num_label_visits__answer_C | num_label_visits__answer_D | seq_len | has_xyx | has_xyxy | trial_mean_dwell | ANSWER_PRESS_NUMBER | last_visited_answer_A | last_visited_answer_B | last_visited_answer_C | last_visited_answer_D | last_before_confirm_answer_A | last_before_confirm_answer_B | last_before_confirm_answer_C | last_before_confirm_answer_D | last_before_confirm_question | last_before_select_answer_A | last_before_select_answer_B | last_before_select_answer_C | last_before_select_answer_D | last_before_select_question,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_all,1352,231,0.7615085854456256,0.8686601859678782,0.911288196490822,0.8768161718256475,0.936467378775071,0.98475857752388,0.55,0.8571428571428571,0.6700507614213198,231,0.9730171708912512,0.8801775147928994,0.9242718446601942,1352,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_all\model_summary.csv
all_last_ans_pruned_t05,logreg,trial_level_log_reg,0.8671152565383334,0.8496525584333544,0.7696257796257796,0.8657779972498861,1583,20,area_dwell_proportion__correct | mean_first_fixation_duration__wrong_mean | mean_max_fix_pupil_size_z__wrong_mean | num_label_visits__wrong_mean | mean_max_fix_pupil_size_z__contrast | num_label_visits__contrast | mean_avg_fix_pupil_size_z__distance_furthest | skip_rate__distance_closest | mean_min_fix_pupil_size_z__distance_closest | first_encounter_avg_pupil_size_z__distance_closest | mean_fixations_count__question | area_dwell_proportion__answer_B | area_dwell_proportion__answer_C | area_dwell_proportion__answer_D | has_xyx | has_xyxy | ANSWER_PRESS_NUMBER | last_visited_answer_A | last_visited_answer_C | last_visited_answer_D,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_ans_pruned_t05,1352,231,0.7350845574063594,0.8671152565383334,0.9074747978778512,0.8496525584333544,0.91406990445452,0.9803425061454364,0.4916467780429594,0.8917748917748918,0.6338461538461538,231,0.9785223367697594,0.8424556213017751,0.9054054054054054,1352,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_ans_pruned_t05\model_summary.csv
all_last_all_aic,logreg,trial_level_log_reg,0.8668655062885833,0.8768161718256475,0.7966305037444337,0.8870612219728448,1583,44,last_visited_answer_A | last_before_select_answer_A | mean_fixations_count__wrong_mean | last_before_confirm_answer_A | area_dwell_proportion__contrast | num_label_visits__answer_B | skip_rate__contrast | area_dwell_proportion__answer_D | last_before_confirm_answer_B | has_xyx | trial_mean_dwell | mean_avg_fix_pupil_size_z__correct | num_label_visits__contrast | num_label_visits__distance_furthest | skip_rate__answer_B | last_before_select_answer_D | ANSWER_PRESS_NUMBER | last_before_confirm_question | mean_dwell_time__correct | area_dwell_proportion__distance_furthest | last_before_select_question | skip_rate__distance_closest | mean_avg_fix_pupil_size_z__answer_C | skip_rate__question | mean_first_fixation_duration__answer_B | last_visited_answer_D | mean_dwell_time__wrong_mean | area_dwell_proportion__distance_closest | mean_min_fix_pupil_size_z__correct | skip_rate__answer_C | mean_dwell_time__distance_furthest | mean_dwell_time__question | first_encounter_avg_pupil_size_z__question | mean_max_fix_pupil_size_z__answer_D | num_label_visits__distance_closest | mean_min_fix_pupil_size_z__wrong_mean | mean_max_fix_pupil_size_z__answer_B | area_dwell_proportion__answer_C | mean_max_fix_pupil_size_z__answer_C | mean_avg_fix_pupil_size_z__answer_D | first_encounter_avg_pupil_size_z__answer_B | mean_max_fix_pupil_size_z__distance_closest | mean_first_fixation_duration__distance_furthest | mean_avg_fix_pupil_size_z__wrong_mean,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_all_aic,1352,231,0.7612621137840612,0.8668655062885833,0.9106693791411758,0.8768161718256475,0.9368452060759752,0.9846906644831184,0.5502793296089385,0.8528138528138528,0.6689303904923599,231,0.9722448979591836,0.8809171597633136,0.9243306169965076,1352,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_all_aic\model_summary.csv
all_last_confirm_pruned_t09,logreg,trial_level_log_reg,0.866702208048362,0.8673404927353127,0.7867890402524436,0.8795929233288016,1583,76,mean_dwell_time__correct | mean_first_fixation_duration__correct | skip_rate__correct | area_dwell_proportion__correct | mean_max_fix_pupil_size_z__correct | mean_min_fix_pupil_size_z__correct | first_encounter_avg_pupil_size_z__correct | num_label_visits__correct | mean_fixations_count__wrong_mean | mean_first_fixation_duration__wrong_mean | skip_rate__wrong_mean | area_dwell_proportion__wrong_mean | mean_max_fix_pupil_size_z__wrong_mean | num_label_visits__wrong_mean | mean_dwell_time__contrast | mean_fixations_count__contrast | mean_first_fixation_duration__contrast | skip_rate__contrast | mean_max_fix_pupil_size_z__contrast | mean_min_fix_pupil_size_z__contrast | first_encounter_avg_pupil_size_z__contrast | num_label_visits__contrast | mean_dwell_time__distance_furthest | mean_fixations_count__distance_furthest | mean_first_fixation_duration__distance_furthest | skip_rate__distance_furthest | area_dwell_proportion__distance_furthest | mean_avg_fix_pupil_size_z__distance_furthest | first_encounter_avg_pupil_size_z__distance_furthest | num_label_visits__distance_furthest | mean_dwell_time__distance_closest | mean_fixations_count__distance_closest | mean_first_fixation_duration__distance_closest | skip_rate__distance_closest | area_dwell_proportion__distance_closest | mean_avg_fix_pupil_size_z__distance_closest | mean_max_fix_pupil_size_z__distance_closest | mean_min_fix_pupil_size_z__distance_closest | first_encounter_avg_pupil_size_z__distance_closest | num_label_visits__distance_closest | mean_fixations_count__question | mean_first_fixation_duration__question | area_dwell_proportion__question | mean_max_fix_pupil_size_z__question | num_label_visits__question | mean_fixations_count__answer_B | mean_fixations_count__answer_C | mean_fixations_count__answer_D | mean_first_fixation_duration__answer_B | mean_first_fixation_duration__answer_C | mean_first_fixation_duration__answer_D | skip_rate__answer_B | skip_rate__answer_C | skip_rate__answer_D | area_dwell_proportion__answer_B | area_dwell_proportion__answer_C | area_dwell_proportion__answer_D | mean_max_fix_pupil_size_z__answer_B | mean_max_fix_pupil_size_z__answer_C | mean_max_fix_pupil_size_z__answer_D | mean_min_fix_pupil_size_z__answer_B | first_encounter_avg_pupil_size_z__answer_B | first_encounter_avg_pupil_size_z__answer_C | first_encounter_avg_pupil_size_z__answer_D | num_label_visits__answer_B | num_label_visits__answer_C | num_label_visits__answer_D | has_xyx | has_xyxy | trial_mean_dwell | ANSWER_PRESS_NUMBER | last_before_confirm_answer_A | last_before_confirm_answer_B | last_before_confirm_answer_C | last_before_confirm_answer_D | last_before_confirm_question,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_confirm_pruned_t09,1352,231,0.7509784885912394,0.866702208048362,0.9090897693736713,0.8673404927353127,0.918699889853736,0.981046892308695,0.5277044854881267,0.8658008658008658,0.6557377049180327,231,0.974252491694352,0.867603550295858,0.9178403755868544,1352,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_confirm_pruned_t09\model_summary.csv
all_last_confirm_pruned_t07,logreg,trial_level_log_reg,0.8665933425548811,0.8610233733417562,0.7804449353426537,0.8746351637023971,1583,37,skip_rate__correct | area_dwell_proportion__correct | first_encounter_avg_pupil_size_z__correct | mean_first_fixation_duration__wrong_mean | mean_max_fix_pupil_size_z__wrong_mean | num_label_visits__wrong_mean | mean_fixations_count__contrast | skip_rate__contrast | mean_max_fix_pupil_size_z__contrast | num_label_visits__contrast | mean_fixations_count__distance_furthest | skip_rate__distance_furthest | area_dwell_proportion__distance_furthest | mean_avg_fix_pupil_size_z__distance_furthest | first_encounter_avg_pupil_size_z__distance_furthest | num_label_visits__distance_furthest | skip_rate__distance_closest | mean_min_fix_pupil_size_z__distance_closest | first_encounter_avg_pupil_size_z__distance_closest | num_label_visits__distance_closest | mean_fixations_count__question | area_dwell_proportion__question | mean_max_fix_pupil_size_z__question | skip_rate__answer_B | skip_rate__answer_C | skip_rate__answer_D | area_dwell_proportion__answer_B | area_dwell_proportion__answer_C | area_dwell_proportion__answer_D | has_xyx | has_xyxy | ANSWER_PRESS_NUMBER | last_before_confirm_answer_A | last_before_confirm_answer_B | last_before_confirm_answer_C | last_before_confirm_answer_D | last_before_confirm_question,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_confirm_pruned_t07,1352,231,0.7448125815211581,0.8665933425548811,0.9082659035172564,0.8610233733417562,0.9174415328261484,0.9814211198057228,0.5139949109414759,0.8744588744588745,0.6474358974358975,231,0.9756302521008404,0.8587278106508875,0.91345397324941,1352,..\reports\report_data\answer_correctness\new_subject\logreg\all_last_confirm_pruned_t07\model_summary.csv
