seq_len,n,k_correct,accuracy,ci_low,ci_high
1,118,105,0.8898305084745762,0.8206010282641124,0.9344776969003633
2,165,154,0.9333333333333333,0.884577404001607,0.9623702676622483
3,411,379,0.9221411192214112,0.8921522419636939,0.9443116035137123
4,2688,2498,0.9293154761904762,0.9190011996400314,0.9384043772705863
5,4504,4063,0.9020870337477798,0.8930616788489415,0.9104270684042893
6,2801,2452,0.8754016422706177,0.8626541228669378,0.8871208376869846
7,2306,1966,0.852558542931483,0.8375013485140531,0.8664430258534358
8,1685,1337,0.7934718100890208,0.7734856144869173,0.812122887814305
9,1207,977,0.8094449047224523,0.786319773684661,0.8306065030471592
10,874,672,0.7688787185354691,0.7397905570002052,0.7956135523516412
11,694,498,0.7175792507204611,0.6829589048864203,0.749804060233458
12,499,330,0.6613226452905812,0.6187061315416791,0.7014742194873527
13,360,242,0.6722222222222223,0.6221363587748084,0.7186712893885682
14,255,162,0.6352941176470588,0.5746112574358754,0.6919610400618993
15,202,128,0.6336633663366337,0.5653014013170833,0.6970362408310539
16,138,83,0.6014492753623188,0.5180806971767848,0.6793226034064008
17,110,66,0.6,0.5065687300827921,0.6866822431993824
18,85,50,0.5882352941176471,0.48200820902440994,0.6868316137613121
19,61,33,0.5409836065573771,0.41723829935814166,0.6598726911171089
20,56,32,0.5714285714285714,0.4413738892040555,0.6923123758690708
21,42,23,0.5476190476190477,0.39948862747122693,0.6877683618136149
22,31,21,0.6774193548387096,0.5014068555995079,0.8143076925268695
23,28,16,0.5714285714285714,0.390704789856154,0.7349170381926877
24,23,10,0.43478260869565216,0.2563436833219865,0.6318895069498305
25,15,5,0.3333333333333333,0.15176100694691233,0.5828687484878702
26,13,5,0.38461538461538464,0.17709446581236815,0.6447751902773147
27,11,5,0.45454545454545453,0.2127095754398805,0.7199122443100117
28,7,5,0.7142857142857143,0.35892909014821267,0.9177828342909844
29,1,0,0.0,0.0,0.7934567085261071
30,4,2,0.5,0.15003570882017148,0.8499642911798285
31,9,4,0.4444444444444444,0.188775429471914,0.7333526542559703
32,3,2,0.6666666666666666,0.20765495512648796,0.9385096847238394
33,4,3,0.75,0.3006360524426366,0.9544139373553637
34,3,2,0.6666666666666666,0.20765495512648796,0.9385096847238394
35,4,2,0.5,0.15003570882017148,0.8499642911798285
37,2,0,0.0,0.0,0.6576280471103807
38,4,2,0.5,0.15003570882017148,0.8499642911798285
40,2,1,0.5,0.09452865480086614,0.9054713451991339
