seq_len,n,k_correct,accuracy,ci_low,ci_high
1,43,37,0.8604651162790697,0.7273612340557432,0.9344436573228605
2,80,68,0.85,0.7558657249889396,0.9120604596258579
3,180,168,0.9333333333333333,0.8871002756924607,0.9614563078011557
4,900,819,0.91,0.8895187396829942,0.9269960124594165
5,2142,1912,0.892623716153128,0.8788027492913136,0.905038891210017
6,1900,1645,0.8657894736842106,0.8497213108131281,0.8803814456346775
7,1175,957,0.814468085106383,0.7912287603188669,0.8356578375073381
8,893,686,0.7681970884658454,0.739406278504199,0.7946902665267181
9,675,495,0.7333333333333333,0.698720206076551,0.7653055695977741
10,481,343,0.7130977130977131,0.6711116486980037,0.7517068553247533
11,366,239,0.6530054644808743,0.6028760556529804,0.6999562920331641
12,265,172,0.6490566037735849,0.5898353431182848,0.7040179891041092
13,191,122,0.6387434554973822,0.5685017892363144,0.7035140431116029
14,128,76,0.59375,0.5071382471838718,0.674898378585233
15,82,44,0.5365853658536586,0.4294453462271658,0.6404508346455114
16,54,27,0.5,0.37114361988923295,0.628856380110767
17,37,15,0.40540540540540543,0.26346295839940137,0.565143168686707
18,28,10,0.35714285714285715,0.20705611972458876,0.5417002241777278
19,20,13,0.65,0.43285051021946463,0.8188104521320554
20,23,15,0.6521739130434783,0.4488997690689164,0.8118894536301776
21,14,6,0.42857142857142855,0.21380509930400526,0.6740973309713064
22,11,8,0.7272727272727273,0.4343497069897537,0.9025411942607853
