seq_len,n,k_correct,accuracy,ci_low,ci_high
0,5,5,1.0,0.5655085052479191,1.0
1,42,41,0.9761904761904762,0.8767851883475174,0.9957847045008997
2,125,112,0.896,0.8301757464839641,0.9382096197331584
3,235,223,0.948936170212766,0.9128791497083566,0.9705515424323761
4,976,903,0.9252049180327869,0.9069821806295688,0.9400935099718508
5,2300,2135,0.9282608695652174,0.9169849581650213,0.9381085517360066
6,1996,1801,0.9023046092184369,0.8884960394773512,0.9145675631599778
7,1143,980,0.8573928258967629,0.8359224038741362,0.8764689150316307
8,869,746,0.8584579976985041,0.8337011099046178,0.8800595541150623
9,649,525,0.8089368258859785,0.7769064843287956,0.8373313338494579
10,383,308,0.804177545691906,0.7614961892877603,0.8408175225777681
11,306,224,0.7320261437908496,0.6797486172339745,0.778550074742829
12,187,136,0.7272727272727273,0.6593446834485546,0.7860508697222426
13,136,99,0.7279411764705882,0.6476546569380526,0.7957041147007158
14,98,58,0.5918367346938775,0.49285190219841635,0.683893160722826
15,74,50,0.6756756756756757,0.5626508503567352,0.7713607835254049
16,45,21,0.4666666666666667,0.3293490394201473,0.6092279113758954
17,35,24,0.6857142857142857,0.5201992812074803,0.8144934194021753
18,24,16,0.6666666666666666,0.4670595949408046,0.8202802131162036
19,15,8,0.5333333333333333,0.3011663015105079,0.7519077474025355
20,19,9,0.47368421052631576,0.2732950548744854,0.6829251748817489
21,12,6,0.5,0.2537781703934222,0.7462218296065778
22,10,5,0.5,0.23658959361548731,0.7634104063845126
23,5,2,0.4,0.1176182311592533,0.769280067791163
25,5,3,0.6,0.23071993220883708,0.8823817688407467
