_bin,n,k_correct,bin_left,bin_right,bin_center,accuracy,ci_low,ci_high
0,1157,1069,0.020065217391304346,0.07244682971014492,0.04625602355072463,0.9239412273120138,0.9072239903053706,0.9378525472687479
1,6140,5666,0.07244682971014492,0.12482844202898549,0.0986376358695652,0.9228013029315961,0.9158575638239389,0.9292163065701157
2,5234,4591,0.12482844202898549,0.17721005434782605,0.15101924818840579,0.8771494077187619,0.8679784194085113,0.8857671692324282
3,2899,2315,0.17721005434782605,0.22959166666666664,0.20340086050724634,0.7985512245601931,0.7835600090146911,0.8127522389564003
4,1575,1159,0.22959166666666664,0.2819732789855072,0.2557824728260869,0.7358730158730159,0.713544760629238,0.7570534298415477
5,875,615,0.2819732789855072,0.33435489130434776,0.3081640851449275,0.7028571428571428,0.6717427961614731,0.7321980277594701
6,532,358,0.33435489130434776,0.38673650362318834,0.3605456974637681,0.6729323308270677,0.6319501574258473,0.7114349026366789
7,327,190,0.38673650362318834,0.43911811594202893,0.4129273097826086,0.581039755351682,0.5269242609151094,0.6332732474997936
8,198,116,0.43911811594202893,0.4914997282608695,0.46530892210144925,0.5858585858585859,0.5162498089333676,0.6521991133898799
9,146,75,0.4914997282608695,0.54388134057971,0.5176905344202898,0.5136986301369864,0.433317762545053,0.5933770938900093
10,113,66,0.54388134057971,0.5962629528985506,0.5700721467391303,0.584070796460177,0.4918922725047336,0.6707210433005959
11,58,30,0.5962629528985506,0.6486445652173911,0.6224537590579708,0.5172413793103449,0.39162043429213433,0.640720255470097
12,47,23,0.6486445652173911,0.7010261775362319,0.6748353713768115,0.48936170212765956,0.3527532433660351,0.6275778241062712
13,30,21,0.7010261775362319,0.7534077898550724,0.7272169836956521,0.7,0.5212387898833981,0.8333543735604105
14,27,14,0.7534077898550724,0.8057894021739129,0.7795985960144927,0.5185185185185185,0.3398532458621043,0.6925704935029092
15,20,8,0.8057894021739129,0.8581710144927535,0.8319802083333332,0.4,0.21880396741419272,0.613422057684794
