_bin,n,k_correct,bin_left,bin_right,bin_center,accuracy,ci_low,ci_high
0,582,522,0.02483333333333333,0.07711958333333332,0.05097645833333333,0.8969072164948454,0.8695436373314911,0.91906543378944
1,2908,2652,0.07711958333333332,0.1294058333333333,0.10326270833333331,0.9119669876203577,0.901117498093555,0.9217294589661971
2,2479,2106,0.1294058333333333,0.1816920833333333,0.15554895833333332,0.8495361032674466,0.8349215398819171,0.8630690206113499
3,1514,1160,0.1816920833333333,0.2339783333333333,0.2078352083333333,0.7661822985468957,0.7442044197315344,0.7868127825904999
4,833,595,0.2339783333333333,0.28626458333333327,0.2601214583333333,0.7142857142857143,0.6826781102967987,0.7439259208603521
5,504,344,0.28626458333333327,0.3385508333333333,0.3124077083333333,0.6825396825396826,0.6406497056197087,0.7216679934423611
6,298,186,0.3385508333333333,0.3908370833333333,0.3646939583333333,0.6241610738255033,0.5679173691369889,0.677244331569607
7,176,98,0.3908370833333333,0.44312333333333326,0.41698020833333327,0.5568181818181818,0.48299065872765407,0.628218316281465
8,122,67,0.44312333333333326,0.49540958333333324,0.46926645833333325,0.5491803278688525,0.4607293803034978,0.6346285935302741
9,97,49,0.49540958333333324,0.5476958333333333,0.5215527083333332,0.5051546391752577,0.40737305891143216,0.6025434834679033
10,66,38,0.5476958333333333,0.5999820833333332,0.5738389583333332,0.5757575757575758,0.45560437087929284,0.6875767704462209
11,32,18,0.5999820833333332,0.6522683333333333,0.6261252083333333,0.5625,0.3932530203122613,0.7183491403055682
12,29,13,0.6522683333333333,0.7045545833333333,0.6784114583333334,0.4482758620689655,0.2841291114874579,0.6245233293193238
13,21,16,0.7045545833333333,0.7568408333333333,0.7306977083333333,0.7619047619047619,0.5490841802765407,0.8937214361088772
14,16,9,0.7568408333333333,0.8091270833333333,0.7829839583333333,0.5625,0.33178195606776517,0.7690163666481448
