_bin,n,k_correct,bin_left,bin_right,bin_center,accuracy,ci_low,ci_high
0,409,385,0.020065217391304346,0.06420049840933192,0.042132857900318135,0.941320293398533,0.914173434717422,0.9602539485695334
1,2521,2361,0.06420049840933192,0.1083357794273595,0.08626813891834571,0.9365331217770726,0.9263359006263648,0.9454019541364843
2,2809,2556,0.1083357794273595,0.15247106044538708,0.13040341993637328,0.9099323602705589,0.8987780213878823,0.9199669801081137
3,1598,1381,0.15247106044538708,0.19660634146341466,0.17453870095440088,0.8642052565707133,0.8465327811847088,0.8801308289999685
4,895,735,0.19660634146341466,0.24074162248144224,0.21867398197242843,0.8212290502793296,0.7947692668987876,0.8449430027602935
5,527,398,0.24074162248144224,0.2848769034994698,0.26280926299045604,0.7552182163187856,0.71674838124838,0.7899941197161261
6,301,221,0.2848769034994698,0.3290121845174974,0.3069445440084836,0.7342192691029901,0.6815899443221729,0.7809453526976564
7,196,142,0.3290121845174974,0.37314746553552497,0.3510798250265112,0.7244897959183674,0.658080402830313,0.7822683533846092
8,144,88,0.37314746553552497,0.4172827465535525,0.39521510604453874,0.6111111111111112,0.5295875556674611,0.6868603182732972
9,87,57,0.4172827465535525,0.4614180275715801,0.43935038706256635,0.6551724137931034,0.550645767576964,0.7465748890385073
10,55,34,0.4614180275715801,0.5055533085896078,0.48348566808059396,0.6181818181818182,0.4860897928239239,0.7348423368258477
11,41,24,0.5055533085896078,0.5496885896076353,0.5276209490986216,0.5853658536585366,0.4336683535683661,0.7224366917466984
12,39,23,0.5496885896076353,0.5938238706256629,0.5717562301166491,0.5897435897435898,0.43418348473344903,0.7292091056459952
13,18,9,0.5938238706256629,0.6379591516436904,0.6158915111346767,0.5,0.2903070395897999,0.7096929604102
14,16,8,0.6379591516436904,0.682094432661718,0.6600267921527042,0.5,0.27999237611350836,0.7200076238864916
15,11,7,0.682094432661718,0.7262297136797455,0.7041620731707318,0.6363636363636364,0.3537967768916373,0.8483377638586862
17,16,4,0.7703649946977731,0.8145002757158006,0.7924326352067869,0.25,0.10181901984237346,0.49498768929398645
