_bin,n,k_correct,bin_left,bin_right,bin_center,accuracy,ci_low,ci_high
0,24,17,0.0,10.0,5.0,0.7083333333333334,0.508319363412903,0.8508553966583573
1,43,39,10.0,20.0,15.0,0.9069767441860465,0.7839701160146731,0.9632289548966534
2,86,77,20.0,30.0,25.0,0.8953488372093024,0.812927940593436,0.9439597372751682
3,159,139,30.0,40.0,35.0,0.8742138364779874,0.81369340406447,0.9170780941276383
4,301,272,40.0,50.0,45.0,0.9036544850498339,0.86505585190276,0.9320794472165204
5,508,456,50.0,60.0,55.0,0.8976377952755905,0.8682234611004963,0.9210832306572662
6,641,583,60.0,70.0,65.0,0.9095163806552262,0.8848005662903471,0.9293528630169432
7,746,675,70.0,80.0,75.0,0.9048257372654156,0.8816450237760064,0.9238584318871631
8,771,703,80.0,90.0,85.0,0.9118028534370947,0.889689392037475,0.9298329464637102
9,798,703,90.0,100.0,95.0,0.8809523809523809,0.8566375721669856,0.9016169259782839
10,667,575,100.0,110.0,105.0,0.8620689655172413,0.8338188736724432,0.8861722538903076
11,627,537,110.0,120.0,115.0,0.8564593301435407,0.826841346150048,0.8817358941587713
12,529,440,120.0,130.0,125.0,0.831758034026465,0.7975131605957075,0.8612191906321245
13,460,358,130.0,140.0,135.0,0.7782608695652173,0.73808059628077,0.8138319531757684
14,428,328,140.0,150.0,145.0,0.7663551401869159,0.7240049258308325,0.8039664414482808
15,390,304,150.0,160.0,155.0,0.7794871794871795,0.7357238696353587,0.8177981554630565
16,328,238,160.0,170.0,165.0,0.725609756097561,0.6749175402259211,0.7710783807194939
17,268,192,170.0,180.0,175.0,0.7164179104477612,0.659690109777784,0.7670289795742503
18,233,178,180.0,190.0,185.0,0.7639484978540773,0.7054148150200802,0.8139196262267278
19,206,135,190.0,200.0,195.0,0.6553398058252428,0.5881289582608171,0.7168629975763476
20,177,122,200.0,210.0,205.0,0.6892655367231638,0.6176732597375046,0.7528167160202855
21,152,112,210.0,220.0,215.0,0.7368421052631579,0.6616208335298267,0.8003867433944348
22,121,80,220.0,230.0,225.0,0.6611570247933884,0.5730213220975752,0.7393745459464102
23,125,74,230.0,240.0,235.0,0.592,0.5043494517691636,0.674164320180269
24,96,67,240.0,250.0,245.0,0.6979166666666666,0.5999131207004743,0.7806897542534527
