_bin,n,k_correct,bin_left,bin_right,bin_center,accuracy,ci_low,ci_high
0,23,23,0.0,10.0,5.0,1.0,0.8568788745827374,1.0
1,36,33,10.0,20.0,15.0,0.9166666666666666,0.7817298972308114,0.9712519107287082
2,121,112,20.0,30.0,25.0,0.9256198347107438,0.8646677320152302,0.9603777656393978
3,221,206,30.0,40.0,35.0,0.9321266968325792,0.8910467044739486,0.9584402232120314
4,385,369,40.0,50.0,45.0,0.9584415584415584,0.933564572910594,0.9742601042844384
5,648,613,50.0,60.0,55.0,0.9459876543209876,0.925808326626594,0.9609101644914937
6,790,732,60.0,70.0,65.0,0.9265822784810127,0.9062569413161093,0.9427789368741998
7,949,876,70.0,80.0,75.0,0.9230769230769231,0.9043657155076277,0.9383766668568703
8,886,800,80.0,90.0,85.0,0.9029345372460497,0.8816655535220206,0.9207244448776946
9,864,780,90.0,100.0,95.0,0.9027777777777778,0.8812033456238066,0.9207863262241436
10,700,638,100.0,110.0,105.0,0.9114285714285715,0.8880725077333882,0.9302934427872973
11,614,539,110.0,120.0,115.0,0.8778501628664495,0.8495730493536854,0.9014285018529667
12,522,462,120.0,130.0,125.0,0.8850574712643678,0.8548378217909475,0.9096509520147006
13,436,379,130.0,140.0,135.0,0.8692660550458715,0.8343712870230526,0.8977104442183761
14,364,304,140.0,150.0,145.0,0.8351648351648352,0.793586037764295,0.8697429603696843
15,277,224,150.0,160.0,155.0,0.8086642599277978,0.7582434715453347,0.8506406823691851
16,244,207,160.0,170.0,165.0,0.8483606557377049,0.7979812114884088,0.887940764483341
17,203,156,170.0,180.0,175.0,0.7684729064039408,0.7057860921225423,0.8211872053185914
18,192,153,180.0,190.0,185.0,0.796875,0.73440317870563,0.8476999086874468
19,156,107,190.0,200.0,195.0,0.6858974358974359,0.6093334753736067,0.7535257552647253
20,144,108,200.0,210.0,205.0,0.75,0.6734017453693497,0.8136059709973562
21,91,71,210.0,220.0,215.0,0.7802197802197802,0.6847588519917921,0.8529798618215557
22,89,64,220.0,230.0,225.0,0.7191011235955056,0.6181638937135869,0.8019064195942405
23,97,66,230.0,240.0,235.0,0.6804123711340206,0.5822644606203154,0.7648145226564275
24,75,59,240.0,250.0,245.0,0.7866666666666666,0.6811982171013853,0.86419913657992
25,68,51,250.0,260.0,255.0,0.75,0.6356122186609706,0.8376511830450047
26,45,35,260.0,270.0,265.0,0.7777777777777778,0.637304262026367,0.8745544813399436
27,42,26,270.0,280.0,275.0,0.6190476190476191,0.46813768219996377,0.7500047910121407
28,48,32,280.0,290.0,285.0,0.6666666666666666,0.5253984633247204,0.783233986291032
29,53,37,290.0,300.0,295.0,0.6981132075471698,0.5646291313003242,0.8048185971239281
30,31,17,300.0,310.0,305.0,0.5483870967741935,0.37771879603669134,0.7083851716341388
31,26,18,310.0,320.0,315.0,0.6923076923076923,0.5001138848576876,0.8349887906020732
32,29,18,320.0,330.0,325.0,0.6206896551724138,0.44002226209284956,0.7731220426913266
33,28,13,330.0,340.0,335.0,0.4642857142857143,0.29531303739659587,0.6418760485789833
34,17,9,340.0,350.0,345.0,0.5294117647058824,0.30962897311549487,0.738351988039119
35,24,16,350.0,360.0,355.0,0.6666666666666666,0.4670595949408046,0.8202802131162036
