model,model_key,feature,feature_label,coef,odds_ratio,abs_coef,se,ci_low,ci_high,or_ci_low,or_ci_high,sig_ci,n_clusters
Correct vs. mean-wrong RT,correct_mean_wrong_RT,RT_normalized_wrong_mean,RT normalized wrong mean,-2.0786,0.1251,2.0786,0.0406,-2.1582,-1.9989,0.1155,0.1355,True,
Correct vs. mean-wrong RT,correct_mean_wrong_RT,RT_normalized_correct,RT normalized correct,1.4049,4.0751,1.4049,0.0361,1.3342,1.4756,3.7971,4.3736,True,
Last label before confirm,last_confirm_compact,last_before_confirm_correct,last before confirm correct,1.4531,4.2762,1.4531,0.0188,1.4163,1.4899,4.1216,4.4366,True,
Last label before confirm,last_confirm_compact,last_before_confirm_question,last before confirm question,0.1831,1.2009,0.1831,0.0148,0.1542,0.212,1.1667,1.2362,True,
Selection set,select_1,num_label_visits__contrast,num label visits contrast,0.9853,2.6785,0.9853,0.0372,0.9123,1.0582,2.49,2.8813,True,
Selection set,select_1,area_dwell_proportion__correct,area dwell proportion correct,0.96,2.6118,0.96,0.028,0.9052,1.0149,2.4724,2.759,True,
Selection set,select_1,mean_fixations_count__wrong_mean,mean fixations count wrong mean,-0.5136,0.5984,0.5136,0.034,-0.5802,-0.447,0.5598,0.6396,True,
Selection set,select_1,num_label_visits__correct,num label visits correct,-0.4842,0.6162,0.4842,0.0406,-0.5637,-0.4046,0.5691,0.6672,True,
Selection set,select_1,skip_rate__correct,skip rate correct,-0.2481,0.7803,0.2481,0.0224,-0.292,-0.2042,0.7468,0.8153,True,
Selection set,select_1,mean_fixations_count__question,mean fixations count question,-0.2123,0.8087,0.2123,0.0312,-0.2733,-0.1512,0.7608,0.8597,True,
Selection set,select_1,has_xyx,has xyx,-0.2085,0.8118,0.2085,0.0192,-0.2461,-0.1709,0.7818,0.8429,True,
Selection set,select_1,area_dwell_proportion__question,area dwell proportion question,0.1918,1.2115,0.1918,0.0259,0.141,0.2427,1.1514,1.2746,True,
Selection set,select_1,mean_max_fix_pupil_size_z__correct,mean max fix pupil size z correct,-0.1485,0.862,0.1485,0.0186,-0.1849,-0.112,0.8312,0.894,True,
Selection set,select_1,ANSWER_PRESS_NUMBER,answer press number,-0.1172,0.8894,0.1172,0.0204,-0.1571,-0.0773,0.8547,0.9256,True,
Selection + last confirm,select_1_plus_last_confirm,last_before_confirm_correct,last before confirm correct,1.2269,3.4105,1.2269,0.0231,1.1816,1.2721,3.2596,3.5684,True,
Selection + last confirm,select_1_plus_last_confirm,area_dwell_proportion__correct,area dwell proportion correct,0.9371,2.5525,0.9371,0.0316,0.8752,0.9989,2.3994,2.7154,True,
Selection + last confirm,select_1_plus_last_confirm,mean_fixations_count__wrong_mean,mean fixations count wrong mean,-0.5021,0.6053,0.5021,0.0363,-0.5732,-0.4311,0.5637,0.6498,True,
Selection + last confirm,select_1_plus_last_confirm,num_label_visits__contrast,num label visits contrast,0.3622,1.4364,0.3622,0.0401,0.2836,0.4407,1.3279,1.5538,True,
Selection + last confirm,select_1_plus_last_confirm,num_label_visits__correct,num label visits correct,-0.2726,0.7614,0.2726,0.0434,-0.3576,-0.1875,0.6993,0.829,True,
Selection + last confirm,select_1_plus_last_confirm,skip_rate__correct,skip rate correct,-0.2368,0.7891,0.2368,0.025,-0.2859,-0.1878,0.7513,0.8288,True,
Selection + last confirm,select_1_plus_last_confirm,has_xyx,has xyx,-0.2138,0.8075,0.2138,0.0221,-0.2572,-0.1703,0.7732,0.8434,True,
Selection + last confirm,select_1_plus_last_confirm,area_dwell_proportion__question,area dwell proportion question,0.1961,1.2167,0.1961,0.0276,0.1419,0.2503,1.1525,1.2844,True,
Selection + last confirm,select_1_plus_last_confirm,mean_max_fix_pupil_size_z__correct,mean max fix pupil size z correct,-0.184,0.8319,0.184,0.0214,-0.2259,-0.1421,0.7978,0.8675,True,
Selection + last confirm,select_1_plus_last_confirm,mean_fixations_count__question,mean fixations count question,-0.1839,0.832,0.1839,0.0317,-0.2461,-0.1217,0.7819,0.8854,True,
Selection + last confirm,select_1_plus_last_confirm,last_before_confirm_question,last before confirm question,0.1515,1.1635,0.1515,0.0178,0.1166,0.1864,1.1236,1.2049,True,
Selection + last confirm,select_1_plus_last_confirm,ANSWER_PRESS_NUMBER,answer press number,-0.1116,0.8944,0.1116,0.0225,-0.1556,-0.0676,0.8559,0.9346,True,
Total answering RT,total_answering_RT_normalized,total_answering_RT_normalized,total answering RT normalized,-0.7073,0.493,0.7073,0.0209,-0.7483,-0.6663,0.4732,0.5136,True,
