participant_id,trial_index,answer_A,answer_B,answer_C,answer_D,selected_label,is_correct,rel_range,preference_strength,dominant_metric_area,dominant_metric_label,is_uniform,pref_group,mismatch_flag,uniform_rel_range,preference_metric
L41_408,3,766.0,844.0,,,A,1,0.0968944099378882,0.0968944099378882,answer_B,B,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,4,750.2,779.0,,,B,0,0.037666753858226466,0.037666753858226466,answer_B,B,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,5,752.67,779.0,,,A,1,0.03438077392649858,0.03438077392649858,answer_B,B,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,6,727.0,,776.0,,A,1,0.06520292747837658,0.06520292747837658,answer_C,C,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,7,746.25,735.0,,749.0,A,1,0.018831969510144604,0.0036991368680641184,answer_D,D,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,9,745.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,10,,691.0,,,A,1,0.0,0.0,answer_B,B,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,11,705.0,,671.0,,A,1,0.04941860465116279,0.04941860465116279,answer_A,A,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,12,706.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,13,,,718.5,702.0,C,0,0.023231256599788808,0.023231256599788808,answer_C,C,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,14,,633.5,610.0,672.0,A,1,0.0971025841816758,0.060297572435395456,answer_D,D,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,15,,,,729.0,D,0,0.0,0.0,answer_D,D,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,16,714.5,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,17,689.5,698.5,,,A,1,0.012968299711815562,0.012968299711815562,answer_B,B,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,19,778.0,678.0,,,A,1,0.13736263736263737,0.13736263736263737,answer_A,A,False,matching,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,20,695.0,710.0,,742.0,A,1,0.0656730321378668,0.04471355379599441,answer_D,D,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,21,843.0,,,776.0,B,0,0.08276714021000618,0.08276714021000618,answer_A,A,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,22,814.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,23,766.0,,,792.0,A,1,0.03337612323491656,0.03337612323491656,answer_D,D,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,24,820.5,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,25,694.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,26,611.0,,,765.0,A,1,0.2238372093023256,0.2238372093023256,answer_D,D,False,mismatch,True,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,27,,,618.0,,C,0,0.0,0.0,answer_C,C,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,28,582.0,,,,C,0,0.0,0.0,answer_A,A,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,29,,,683.0,,A,1,0.0,0.0,answer_C,C,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,30,768.5,590.0,,679.0,A,1,0.26282208588957057,0.13177914110429448,answer_A,A,False,matching,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,31,703.0,613.0,,,A,1,0.13677811550151975,0.13677811550151975,answer_A,A,False,matching,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,32,634.0,647.5,651.5,614.0,B,0,0.05889281507656066,0.006281900274833137,answer_C,C,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,33,687.0,,647.5,669.0,A,1,0.059146493636136756,0.02695283254304966,answer_A,A,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,34,652.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,35,694.0,,,,B,0,0.0,0.0,answer_A,A,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,36,636.0,652.0,608.0,652.0,A,1,0.06907378335949764,0.0,answer_B,B,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,37,639.0,,,694.0,A,1,0.08252063015753938,0.08252063015753938,answer_D,D,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,38,697.67,,744.0,,A,1,0.06427268376258095,0.06427268376258095,answer_C,C,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,39,581.0,,633.0,,A,1,0.085667215815486,0.085667215815486,answer_C,C,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,41,582.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,42,,,616.0,,A,1,0.0,0.0,answer_C,C,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,45,667.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,47,605.0,568.0,,,A,1,0.06308610400682012,0.06308610400682012,answer_A,A,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,48,625.5,614.0,637.0,623.5,D,0,0.0368,0.0184,answer_C,C,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,49,641.0,,,653.0,A,1,0.01854714064914992,0.01854714064914992,answer_D,D,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,52,661.0,671.0,,,A,1,0.015015015015015015,0.015015015015015015,answer_B,B,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,53,,,630.0,,A,1,0.0,0.0,answer_C,C,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,54,624.0,665.0,575.5,632.0,A,1,0.14340076106549168,0.05287402363308632,answer_B,B,False,mismatch,True,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,55,697.5,674.0,689.0,622.0,A,1,0.11258154706430569,0.012674743709226468,answer_A,A,False,matching,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,56,,,,639.0,A,1,0.0,0.0,answer_D,D,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L41_408,57,568.8,621.0,624.5,632.0,A,1,0.10333973756285009,0.012263418223439479,answer_D,D,False,mismatch,True,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L56_481,3,501.5,505.0,452.67,,A,1,0.1075885606200785,0.007195871625650198,answer_B,B,False,mismatch,True,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L56_481,4,455.0,448.2,465.89,,C,0,0.03876297394619783,0.02386256564579389,answer_C,C,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
L56_481,5,448.57,465.0,473.5,477.0,A,1,0.061006292682141784,0.00751044756902906,answer_D,D,True,uniform,False,0.1,IA_AVERAGE_FIX_PUPIL_SIZE
