participant_id,trial_index,answer_A,answer_B,answer_C,answer_D,selected_label,is_correct,rel_range,preference_strength,dominant_metric_area,dominant_metric_label,is_uniform,pref_group,mismatch_flag,uniform_rel_range,preference_metric
l10_338,3,1507.6,1511.17,1584.5,1522.17,B,0,0.05021680075227254,0.04070238219621769,answer_C,C,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,4,1593.5,1618.5,1522.0,1500.91,D,0,0.07543974171239035,0.01603872389497202,answer_B,B,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,5,1718.0,1680.0,1682.0,1561.0,B,0,0.09456407167595242,0.021683481403403104,answer_A,A,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,6,1542.0,1542.33,1488.0,1564.0,B,0,0.049541012298882234,0.014125707059431336,answer_D,D,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,7,1386.5,1735.0,1506.0,1370.5,A,1,0.243081027009003,0.15271757252417473,answer_B,B,False,mismatch,True,0.15,first_encounter_avg_pupil_size
l10_338,8,1426.0,1458.0,1407.0,1365.5,C,0,0.065411473526032,0.02262883408468134,answer_B,B,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,10,1468.5,1424.0,1406.0,1675.0,A,1,0.1801289026533858,0.1382773918138445,answer_D,D,False,mismatch,True,0.15,first_encounter_avg_pupil_size
l10_338,11,1439.33,1463.0,1534.0,1398.0,A,1,0.09324121193007595,0.048677397404672,answer_C,C,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,12,1471.5,1213.0,1287.0,1338.0,A,1,0.19474526791599964,0.10057444203785668,answer_A,A,False,matching,False,0.15,first_encounter_avg_pupil_size
l10_338,13,1447.8,1390.0,1458.67,1284.0,A,1,0.12520092393651436,0.007791458425544886,answer_C,C,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,14,1526.0,1529.0,1541.0,1372.0,A,1,0.11327077747989277,0.00804289544235925,answer_C,C,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,15,1469.5,1323.0,1356.0,1294.0,A,1,0.12898484152503445,0.08341754708314193,answer_A,A,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,16,1337.5,1337.0,1324.0,1437.0,C,0,0.08315702327292797,0.07322233465182595,answer_D,D,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,17,1493.71,1382.0,1409.4,1386.0,C,0,0.07879233518658607,0.05946631259136214,answer_A,A,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,18,1360.5,1451.0,1324.0,1349.0,A,1,0.09262466952320175,0.06600419363661227,answer_B,B,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,19,1477.0,1368.0,1271.0,1255.0,A,1,0.16533234034630423,0.08117668962949172,answer_A,A,False,matching,False,0.15,first_encounter_avg_pupil_size
l10_338,20,1303.0,1326.0,1433.0,1332.0,A,1,0.09640341119762699,0.07489803485354098,answer_C,C,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,21,1346.5,1309.0,1382.0,1424.0,A,1,0.08422594525313559,0.030760780005492996,answer_D,D,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,22,1321.0,1385.0,1298.0,1360.0,A,1,0.06487695749440715,0.018642803877703208,answer_B,B,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,23,1339.0,1297.0,1292.0,1395.0,A,1,0.0773999624272027,0.04208153297012963,answer_D,D,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,24,1176.0,1389.0,1367.0,1255.0,B,0,0.1642567958357432,0.016965490649701175,answer_B,B,False,matching,False,0.15,first_encounter_avg_pupil_size
l10_338,26,1324.0,1362.5,1333.0,1384.0,B,0,0.04441565651892292,0.015915610252614048,answer_D,D,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,27,1351.2,1391.0,1201.0,1291.0,A,1,0.14519888426120517,0.030415345229452415,answer_B,B,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,28,1243.0,1373.0,1301.0,1261.5,A,1,0.10041517814038814,0.05561456020083036,answer_B,B,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,29,1368.5,1213.0,1297.0,1142.0,A,1,0.18046011353450853,0.056966437605816156,answer_A,A,False,matching,False,0.15,first_encounter_avg_pupil_size
l10_338,30,1214.0,1200.0,1208.0,1225.5,A,1,0.021041774110366167,0.009489427539969056,answer_D,D,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,31,1288.0,1188.0,1286.0,1173.0,A,1,0.09321175278622088,0.0016210739614994933,answer_A,A,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,32,1281.5,1490.0,1296.5,1185.0,C,0,0.23224823910146583,0.1473443746430611,answer_B,B,False,mismatch,True,0.15,first_encounter_avg_pupil_size
l10_338,33,1162.0,1210.0,1218.0,,A,1,0.0467966573816156,0.006685236768802228,answer_C,C,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,34,1468.5,1394.0,1261.0,1397.0,A,1,0.15034870029888597,0.05180690154877276,answer_A,A,False,matching,False,0.15,first_encounter_avg_pupil_size
l10_338,35,1343.5,1270.0,1388.67,1151.0,A,1,0.18448450177269532,0.03506191334654209,answer_C,C,False,mismatch,True,0.15,first_encounter_avg_pupil_size
l10_338,36,1439.0,1437.0,1262.0,1130.0,A,1,0.23462414578587698,0.0015186028853454822,answer_A,A,False,matching,False,0.15,first_encounter_avg_pupil_size
l10_338,37,1271.0,1262.0,1259.0,1154.0,A,1,0.09462191670036393,0.007278608976951072,answer_A,A,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,38,1293.0,1414.0,1170.0,1303.0,A,1,0.18841698841698842,0.08571428571428572,answer_B,B,False,mismatch,True,0.15,first_encounter_avg_pupil_size
l10_338,39,1261.33,1178.0,1308.0,1333.5,A,1,0.12242094303489784,0.020075460111832123,answer_D,D,True,uniform,False,0.15,first_encounter_avg_pupil_size
l10_338,40,1424.0,1274.0,1136.0,1144.0,A,1,0.23141824025713137,0.12053033346725593,answer_A,A,False,matching,False,0.15,first_encounter_avg_pupil_size
