participant_id,raw,comp,delta,raw_label,comp_label,changed_label,seq_pct_changed,seq_changed_n,seq_total_n
l59_485,0.5185185185185185,0.5185185185185185,0.0,"('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')","('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')",False,0.0,0,54
l21_102,0.7592592592592593,0.7592592592592593,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.0,0,54
l22_103,0.5740740740740741,0.5740740740740741,0.0,"('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')","('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')",False,0.0,0,54
l39_125,0.18518518518518517,0.2037037037037037,0.018518518518518517,"('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')","('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')",False,0.018518518518518517,1,54
l60_190,0.7592592592592593,0.7592592592592593,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.0,0,54
l50_145,0.4444444444444444,0.46296296296296297,0.018518518518518545,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.037037037037037035,2,54
l16_96,0.5555555555555556,0.5740740740740741,0.01851851851851849,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.018518518518518517,1,54
l40_127,0.48148148148148145,0.48148148148148145,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.0,0,54
l8_268,0.5925925925925926,0.5925925925925926,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.0,0,54
l4_80,0.2222222222222222,0.2962962962962963,0.07407407407407407,"('answer_1(left)', 'answer_0(top)', 'answer_2(right)', 'answer_3(bottom)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",True,0.18518518518518517,10,54
l41_129,0.46296296296296297,0.46296296296296297,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.0,0,54
l17_98,0.42592592592592593,0.4444444444444444,0.01851851851851849,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.018518518518518517,1,54
l24_105,0.35185185185185186,0.35185185185185186,0.0,"('answer_1(left)', 'answer_0(top)', 'answer_2(right)', 'answer_3(bottom)')","('answer_1(left)', 'answer_0(top)', 'answer_2(right)', 'answer_3(bottom)')",False,0.0,0,54
l23_97,0.5185185185185185,0.5555555555555556,0.03703703703703709,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.037037037037037035,2,54
l55_157,0.3148148148148148,0.3148148148148148,0.0,"('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')","('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')",False,0.037037037037037035,2,54
l30_111,0.2962962962962963,0.2962962962962963,0.0,"('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')","('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')",False,0.018518518518518517,1,54
l14_94,0.5370370370370371,0.5370370370370371,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.037037037037037035,2,54
l54_151,0.6481481481481481,0.6666666666666666,0.01851851851851849,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.037037037037037035,2,54
l58_177,0.5740740740740741,0.5740740740740741,0.0,"('answer_0(top)', 'answer_1(left)', 'answer_2(right)', 'answer_3(bottom)')","('answer_0(top)', 'answer_1(left)', 'answer_2(right)', 'answer_3(bottom)')",False,0.037037037037037035,2,54
l18_99,0.3333333333333333,0.3333333333333333,0.0,"('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')","('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')",False,0.0,0,54
l56_159,0.7777777777777778,0.7777777777777778,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.0,0,54
l37_120,0.7037037037037037,0.7037037037037037,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.0,0,54
l53_150,0.35185185185185186,0.37037037037037035,0.01851851851851849,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.018518518518518517,1,54
l3_265,0.2777777777777778,0.37037037037037035,0.09259259259259256,"('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')","('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')",False,0.12962962962962962,7,54
l15_95,0.5370370370370371,0.5740740740740741,0.03703703703703698,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.09259259259259259,5,54
l34_116,0.5555555555555556,0.5555555555555556,0.0,"('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')","('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')",False,0.018518518518518517,1,54
l36_119,0.7592592592592593,0.8148148148148148,0.05555555555555547,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.09259259259259259,5,54
l48_140,0.5555555555555556,0.5555555555555556,0.0,"('answer_1(left)', 'answer_0(top)', 'answer_2(right)', 'answer_3(bottom)')","('answer_1(left)', 'answer_0(top)', 'answer_2(right)', 'answer_3(bottom)')",False,0.0,0,54
