participant_id,n_strategies
l10_202,9
l10_269,14
l10_341,10
l11_205,12
l11_344,11
l11_91,14
l12_207,9
l12_345,10
l12_92,9
l13_213,10
l13_348,14
l13_93,10
l14_352,14
l14_527,19
l14_94,12
l15_210,16
l15_350,14
l15_95,16
l16_218,14
l16_354,14
l16_96,14
l17_219,8
l17_356,11
l17_98,17
l18_220,16
l18_449,7
l18_99,22
l19_100,11
l19_230,9
l19_365,14
l1_161,13
l1_168,11
l1_322,11
l20_101,8
l20_253,12
l20_362,21
l21_102,8
l21_232,14
l21_366,11
l22_103,7
l22_233,17
l22_367,11
l23_234,18
l23_368,16
l23_97,14
l24_105,17
l24_241,10
l24_372,21
l25_106,19
l25_243,13
l25_373,11
l26_107,5
l26_244,20
l26_375,13
l27_108,12
l27_245,19
l27_378,21
l28_246,5
l28_380,22
l28_495,10
l29_110,15
l29_248,8
l29_454,16
l2_165,12
l2_174,9
l2_324,15
l30_111,14
l30_254,17
l30_386,14
l31_112,19
l31_257,10
l31_388,17
l32_263,14
l32_390,16
l32_502,10
l33_115,10
l33_276,22
l33_515,8
l34_116,10
l34_277,12
l34_398,17
l35_118,13
l35_278,11
l35_399,5
l36_119,11
l36_280,10
l36_400,12
l37_120,10
l37_401,11
l37_534,9
l38_121,22
l38_282,12
l38_402,15
l39_125,19
l39_299,11
l39_404,15
l3_167,13
l3_265,17
l3_327,15
l40_127,15
l40_300,7
l40_458,22
l41_129,7
l41_303,10
l41_408,11
l42_290,11
l42_308,13
l42_459,33
l43_131,10
l43_310,12
l43_413,18
l44_291,11
l44_312,19
l44_414,10
l45_135,4
l45_415,15
l45_543,12
l46_137,15
l46_2096,37
l46_317,8
l47_138,7
l47_319,9
l47_420,14
l48_140,14
l48_421,17
l48_535,16
l49_143,14
l49_424,4
l49_471,14
l4_172,15
l4_331,9
l4_80,22
l50_145,15
l50_425,10
l50_472,9
l51_147,13
l51_429,10
l51_475,19
l52_149,22
l52_430,14
l52_477,7
l53_150,11
l53_432,20
l53_478,12
l54_151,11
l54_479,13
l54_516,16
l55_157,18
l55_437,13
l55_519,15
l56_159,8
l56_438,8
l56_481,15
l57_170,7
l57_2095,18
l57_463,9
l58_177,13
l58_466,11
l58_483,18
l59_293,13
l59_485,14
l59_546,11
l5_179,13
l5_332,13
l5_82,14
l60_190,8
l60_492,13
l60_518,10
l6_187,11
l6_329,13
l6_83,8
l7_199,13
l7_267,18
l7_336,17
l8_200,19
l8_268,12
l8_339,13
l9_201,13
l9_340,12
l9_491,11
