participant_id,n_strategies
l10_338,13
l10_39,16
l10_494,9
l11_342,20
l11_40,7
l11_525,19
l12_204,14
l12_343,10
l12_41,17
l13_206,15
l13_347,10
l13_42,19
l14_212,16
l14_349,14
l14_43,11
l15_214,12
l15_351,15
l15_45,10
l16_215,7
l16_353,23
l16_46,20
l17_355,12
l17_48,12
l17_493,16
l18_222,11
l18_358,22
l18_526,17
l19_225,12
l19_359,12
l19_50,13
l1_155,15
l1_321,15
l1_64,14
l20_226,12
l20_361,18
l20_51,20
l21_227,9
l21_363,13
l21_52,7
l22_229,17
l22_364,14
l22_53,19
l23_235,14
l23_371,14
l23_54,12
l24_236,12
l24_370,11
l24_55,22
l25_238,10
l25_374,17
l25_56,10
l26_239,15
l26_376,23
l26_57,8
l27_270,14
l27_377,12
l27_58,7
l28_242,13
l28_379,17
l28_59,10
l29_247,11
l29_383,20
l29_60,13
l2_160,21
l2_323,20
l2_65,7
l30_249,13
l30_385,16
l30_61,18
l31_251,17
l31_387,16
l31_62,15
l32_255,12
l32_389,19
l32_63,12
l33_258,16
l33_284,13
l33_391,13
l34_447,15
l34_473,11
l34_512,12
l35_264,14
l35_450,15
l35_85,22
l36_394,6
l36_486,14
l36_524,12
l37_273,14
l37_395,9
l37_87,25
l38_285,15
l38_396,11
l38_97,11
l39_122,8
l39_289,15
l39_542,19
l3_163,22
l3_325,12
l3_66,21
l40_123,15
l40_294,10
l40_405,16
l41_286,9
l41_295,12
l41_451,13
l42_2070,19
l42_297,17
l42_488,12
l43_152,16
l43_302,15
l43_411,13
l44_305,10
l44_412,14
l44_540,13
l45_139,13
l45_306,17
l45_452,10
l46_141,16
l46_311,13
l46_453,12
l47_144,20
l47_313,28
l47_457,14
l48_153,20
l48_315,12
l48_422,8
l49_154,19
l49_510,13
l49_529,9
l4_169,9
l4_326,21
l4_68,14
l50_156,14
l50_460,8
l50_474,13
l51_158,12
l51_427,19
l51_497,12
l52_164,13
l52_2023,17
l52_428,13
l53_166,13
l53_431,16
l53_498,10
l54_171,18
l54_461,13
l54_499,20
l55_180,13
l55_435,10
l55_500,9
l56_487,25
l56_489,11
l56_522,10
l57_288,14
l57_439,13
l57_501,19
l58_189,15
l58_441,16
l58_503,13
l59_191,11
l59_504,17
l59_547,13
l5_175,18
l5_328,19
l5_69,16
l60_198,16
l60_446,7
l60_505,10
l6_176,21
l6_330,19
l6_70,16
l7_183,12
l7_333,15
l7_71,14
l8_185,16
l8_335,17
l8_76,18
l9_195,9
l9_38,6
l9_536,10
